# a,b,y,w
a,b,y,w
mem_prompt_builder_layout,mem_ux_progressive_disclosure,0.8,1.0
mem_prompt_builder_layout,mem_primary_cta,0.7,1.0
mem_async_ui_states,mem_a11y_semantic_html,0.8,1.0
mem_fix_npm_eacces_macos,mem_antipattern_sudo_npm,0.5,1.0
mem_react_chip_filters,mem_episode_chip_testing,0.7,1.0
mem_episode_autorefresh_cost_spike,mem_antipattern_autorun_keystroke,0.2,1.0
mem_episode_toast_abandonment,mem_antipattern_toast_only_errors,0.2,1.0
mem_seed_012,mem_seed_013,0.7,1.0
mem_seed_011,mem_seed_013,0.7,1.0
mem_seed_001,mem_seed_015,0.8,1.0
mem_seed_002,mem_seed_015,0.6,1.0
mem_seed_003,mem_seed_014,0.7,1.0
mem_seed_004,mem_seed_006,0.6,1.0
mem_seed_007,mem_fix_npm_eacces_macos,0.7,1.0
mem_seed_008,mem_seed_011,0.6,1.0
mem_prompt_builder_layout,mem_seed_003,0.6,1.0
mem_prompt_builder_layout,mem_seed_014,0.6,1.0
mem_async_ui_states,mem_seed_005,0.3,1.0
mem_seed_009,mem_seed_013,0.6,1.0
mem_seed_010,mem_seed_011,0.6,1.0

