# agentId,memoryId,y,w
agentId,memoryId,y,w
Seed,mem_prompt_builder_layout,0.9,1.0
Seed,mem_ux_progressive_disclosure,0.8,1.0
Seed,mem_primary_cta,0.7,1.0
Seed,mem_async_ui_states,0.8,1.0
Seed,mem_a11y_semantic_html,0.8,1.0
Seed,mem_fix_npm_eacces_macos,1.0,1.5
Seed,mem_antipattern_sudo_npm,0.6,1.0
Auggie,mem_fix_npm_eacces_macos,1.0,1.5
Auggie,mem_antipattern_sudo_npm,0.3,1.0
Auggie,mem_seed_001,0.7,1.0
Auggie,mem_seed_015,0.9,1.0
Agent1,mem_react_chip_filters,0.8,1.0
Agent1,mem_episode_chip_testing,0.7,1.0
Agent1,mem_antipattern_autorun_keystroke,0.2,1.0
Agent2,mem_episode_hydration_fix,0.8,1.0
Agent2,mem_seed_004,0.6,1.0
Agent2,mem_seed_006,0.7,1.0
Agent3,mem_async_ui_states,0.7,1.0
Agent3,mem_antipattern_toast_only_errors,0.1,1.0
Agent3,mem_episode_toast_abandonment,0.3,1.0
Agent3,mem_seed_005,0.2,1.0
Agent3,mem_seed_002,0.7,1.0
Agent3,mem_seed_003,0.7,1.0
Agent1,mem_seed_014,0.6,1.0
Agent2,mem_seed_014,0.6,1.0
Agent1,mem_seed_011,0.7,1.0
Agent2,mem_seed_011,0.7,1.0
Agent3,mem_seed_011,0.7,1.0
Seed,mem_seed_011,0.7,1.0
Seed,mem_seed_013,0.7,1.0
Seed,mem_seed_012,0.3,1.0
Seed,mem_seed_007,0.8,1.0
Seed,mem_seed_008,0.7,1.0
Seed,mem_seed_009,0.7,1.0
Seed,mem_seed_010,0.6,1.0
Seed,mem_seed_014,0.8,1.0
Seed,mem_seed_015,0.9,1.0
Auggie,mem_prompt_builder_layout,0.7,1.0
Auggie,mem_seed_003,0.6,1.0
Auggie,mem_seed_014,0.6,1.0
Agent1,mem_prompt_builder_layout,0.6,1.0
Agent2,mem_prompt_builder_layout,0.6,1.0
Agent3,mem_prompt_builder_layout,0.6,1.0
Agent1,mem_async_ui_states,0.6,1.0
Agent2,mem_async_ui_states,0.6,1.0
Agent1,mem_seed_006,0.6,1.0
Agent2,mem_seed_006,0.6,1.0
Agent3,mem_seed_006,0.6,1.0
